src_ip,dst_ip,src_port,dst_port,protocol,duration,pkt_count,total_bytes,mean_pkt_len,max_pkt_len,mean_iat,bytes_per_sec
107.178.254.65,192.168.14.8,443,61710,6,0.0,1,66,66.0,66,0.0,0.0
192.168.1.217,192.168.255.255,53550,58581,17,1.233431,3,498,166.0,166,0.616716,403.75
192.168.1.218,192.168.255.255,60577,58581,17,1.561416,4,664,166.0,166,0.520472,425.26
192.168.1.219,192.168.255.255,52556,58581,17,1.654474,3,486,162.0,162,0.827237,293.75
192.168.11.184,239.255.255.250,52933,1900,17,0.0,1,179,179.0,179,0.0,0.0
192.168.11.240,239.255.255.250,56086,3702,17,0.924667,3,2094,698.0,698,0.462334,2264.6
192.168.11.74,239.255.255.250,62859,1900,17,0.0,1,184,184.0,184,0.0,0.0
192.168.14.8,107.178.254.65,61710,443,6,0.0,1,55,55.0,55,0.0,0.0
192.168.14.8,34.4.35.11,51093,443,6,0.0,1,55,55.0,55,0.0,0.0
192.168.14.8,34.4.35.11,65146,443,6,0.0,1,55,55.0,55,0.0,0.0
192.168.14.8,35.207.140.152,55484,443,6,0.0,1,55,55.0,55,0.0,0.0
192.168.14.8,35.244.154.8,64778,443,6,0.0,1,55,55.0,55,0.0,0.0
192.168.14.8,51.132.193.105,56499,443,6,0.48127,4,1182,295.5,571,0.160423,2456.0
192.168.163.10,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.11,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.13,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.14,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.16,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.3,239.255.255.250,0,0,2,0.0,1,60,60.0,60,0.0,0.0
192.168.163.5,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.7,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.8,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.163.9,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.10,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.11,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.12,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.14,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.15,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.16,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.17,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.19,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.20,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.26,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.27,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.28,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.29,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.3,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.31,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.166.35,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.166.36,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.166.38,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.166.39,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.166.4,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.6,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.166.8,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.11,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.16,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.17,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.18,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.20,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.168.23,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.26,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.27,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.4,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.168.5,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.169.104,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.105,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.107,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.108,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.109,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.111,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.113,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.114,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.131,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.132,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.133,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.134,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.136,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.137,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.138,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.139,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.25,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.35,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.42,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.43,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.44,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.45,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.47,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.50,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.51,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.52,255.255.255.255,5050,5050,17,0.0,1,286,286.0,286,0.0,0.0
192.168.169.53,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.169.66,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.169.87,255.255.255.255,5050,5050,17,0.0,1,74,74.0,74,0.0,0.0
192.168.171.2,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.3,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.4,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.5,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.6,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.7,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.171.8,255.255.255.255,5050,5050,17,0.0,1,282,282.0,282,0.0,0.0
192.168.199.211,192.168.255.255,137,137,17,0.0,1,92,92.0,92,0.0,0.0
192.168.199.211,224.0.0.252,49869,5355,17,0.004675,2,158,79.0,79,0.004675,33797.43
192.168.199.212,192.168.255.255,137,137,17,0.715228,2,184,92.0,92,0.715228,257.26
192.168.199.212,224.0.0.252,61334,5355,17,0.10761,2,158,79.0,79,0.10761,1468.26
192.168.199.214,192.168.255.255,137,137,17,0.0,1,92,92.0,92,0.0,0.0
192.168.199.214,224.0.0.252,58365,5355,17,0.201363,2,158,79.0,79,0.201363,784.65
192.168.27.118,255.255.255.255,1740,1740,17,0.0,1,60,60.0,60,0.0,0.0
192.168.27.118,255.255.255.255,1740,1741,17,0.0,1,60,60.0,60,0.0,0.0
192.168.27.118,255.255.255.255,1740,1742,17,0.0,1,60,60.0,60,0.0,0.0
192.168.27.118,255.255.255.255,1740,1743,17,0.0,1,60,60.0,60,0.0,0.0
34.4.35.11,192.168.14.8,443,51093,6,0.0,1,70,70.0,70,0.0,0.0
34.4.35.11,192.168.14.8,443,65146,6,0.0,1,70,70.0,70,0.0,0.0
35.207.140.152,192.168.14.8,443,55484,6,0.0,1,66,66.0,66,0.0,0.0
35.244.154.8,192.168.14.8,443,64778,6,0.0,1,66,66.0,66,0.0,0.0
51.132.193.105,192.168.14.8,443,56499,6,0.268345,2,219,109.5,153,0.268345,816.11
